pair,d,lj_atr,lj_rep,fa_atr,fa_rep,total
CH3:CH3,2.92,-0.064,3.0383615559214516,-0.064,1.8810496392709706,1.8170496392709705
CH3:CH3,2.9815384615384617,-0.064,2.2749913707316445,-0.064,1.408447157619961,1.344447157619961
CH3:CH3,3.043076923076923,-0.064,1.7033359212502712,-0.064,1.054535268846043,0.9905352688460429
CH3:CH3,3.1046153846153848,-0.064,1.2740950146285006,-0.064,0.7887922235565047,0.7247922235565047
CH3:CH3,3.166153846153846,-0.064,0.9511165179956711,-0.064,0.5888362362911199,0.5248362362911199
CH3:CH3,3.227692307692308,-0.064,0.7077482972280627,-0.064,0.43816697081389355,0.37416697081389355
CH3:CH3,3.289230769230769,-0.064,0.5242429787601319,-0.064,0.32455882815039766,0.26055882815039766
CH3:CH3,3.350769230769231,-0.064,0.38589995592862364,-0.064,0.2389106627154109,0.1749106627154109
CH3:CH3,3.4123076923076923,-0.064,0.2817271228980838,-0.064,0.1744172617862037,0.1104172617862037
CH3:CH3,3.473846153846154,-0.064,0.20347135468728123,-0.064,0.1259691156868958,0.06196911568689581
CH3:CH3,3.5353846153846153,-0.064,0.14491222725373848,-0.064,0.08971515989278948,0.025715159892789483
CH3:CH3,3.596923076923077,-0.064,0.10134477171631046,-0.064,0.0627425481695678,-0.0012574518304322019
CH3:CH3,3.6584615384615384,-0.064,0.0691987459951689,-0.064,0.042840943645609066,-0.021159056354390936
CH3:CH3,3.72,-0.064,0.045757034335133895,-0.064,0.028328179956881392,-0.03567182004311861
CH3:CH3,3.7815384615384615,-0.064,0.028946401751931083,-0.064,0.017920717324620535,-0.04607928267537947
CH3:CH3,3.8430769230769233,-0.064,0.017181326304814726,-0.064,0.010636959115310797,-0.053363040884689204
CH3:CH3,3.9046153846153846,-0.064,0.009246955318999231,-0.064,0.005724790037992424,-0.05827520996200758
CH3:CH3,3.9661538461538464,-0.064,0.004211033148489918,-0.064,0.002607050622230108,-0.061392949377769894
CH3:CH3,4.027692307692308,-0.064,0.0013573774558625212,-0.064,0.0008403523829244869,-0.06315964761707552
CH3:CH3,4.0892307692307694,-0.064,0.00013545083071384023,-0.064,8.385760929493848e-05,-0.06391614239070506
CH3:CH3,4.150769230769231,-0.06387799662732982,0.0,-0.06387799662732982,0.0,-0.06387799662732982
CH3:CH3,4.212307692307693,-0.06300819675315775,0.0,-0.06300819675315775,0.0,-0.06300819675315775
CH3:CH3,4.273846153846154,-0.06150476522667293,0.0,-0.06150476522667293,0.0,-0.06150476522667293
CH3:CH3,4.335384615384616,-0.059558895490998284,0.0,-0.059558895490998284,0.0,-0.059558895490998284
CH3:CH3,4.396923076923077,-0.05731658985917047,0.0,-0.05731658985917047,0.0,-0.05731658985917047
CH3:CH3,4.458461538461538,-0.05488886559824574,0.0,-0.05488886559824574,0.0,-0.05488886559824574
CH3:CH3,4.5200000000000005,-0.052356021362151894,0.0,-0.052356021362151894,0.0,-0.052356021362151894
CH3:CH3,4.581538461538462,-0.0497216584729101,0.0,-0.0497216584729101,0.0,-0.0497216584729101
CH3:CH3,4.643076923076923,-0.046991766045800576,0.0,-0.046991766045800576,0.0,-0.046991766045800576
CH3:CH3,4.704615384615385,-0.04418474094381608,0.0,-0.04418474094381608,0.0,-0.04418474094381608
CH3:CH3,4.766153846153847,-0.04131898002994827,0.0,-0.04131898002994827,0.0,-0.04131898002994827
CH3:CH3,4.827692307692308,-0.0384128801671908,0.0,-0.0384128801671908,0.0,-0.0384128801671908
CH3:CH3,4.889230769230769,-0.03548483821853243,0.0,-0.03548483821853243,0.0,-0.03548483821853243
CH3:CH3,4.950769230769231,-0.03255325104696616,0.0,-0.03255325104696616,0.0,-0.03255325104696616
CH3:CH3,5.012307692307693,-0.029636515515483408,0.0,-0.029636515515483408,0.0,-0.029636515515483408
CH3:CH3,5.073846153846154,-0.026753028487076946,0.0,-0.026753028487076946,0.0,-0.026753028487076946
CH3:CH3,5.135384615384616,-0.02392118682473754,0.0,-0.02392118682473754,0.0,-0.02392118682473754
CH3:CH3,5.196923076923078,-0.02115938739145795,0.0,-0.02115938739145795,0.0,-0.02115938739145795
CH3:CH3,5.258461538461539,-0.01848602705022806,0.0,-0.01848602705022806,0.0,-0.01848602705022806
CH3:CH3,5.32,-0.015919502664041296,0.0,-0.015919502664041296,0.0,-0.015919502664041296
CH3:CH2,2.87,-0.064,3.2567156507431454,-0.064,2.0162326593750812,1.9522326593750812
CH3:CH2,2.931538461538462,-0.064,2.429556654385718,-0.064,1.504138524730198,1.4401385247301979
CH3:CH2,2.993076923076923,-0.064,1.8127623129951047,-0.064,1.1222811479752692,1.0582811479752692
CH3:CH2,3.054615384615385,-0.064,1.3515033814823256,-0.064,0.8367157434757078,0.7727157434757077
CH3:CH2,3.1161538461538463,-0.064,1.005774696459462,-0.064,0.6226751145780529,0.5586751145780529
CH3:CH2,3.177692307692308,-0.064,0.7462255130363507,-0.064,0.4619882151208047,0.3979882151208047
CH3:CH2,3.2392307692307694,-0.064,0.5512095976637157,-0.064,0.34125386191360635,0.27725386191360635
CH3:CH2,3.300769230769231,-0.064,0.4046845412019545,-0.064,0.25054019945813005,0.18654019945813005
CH3:CH2,3.3623076923076924,-0.064,0.294706422479226,-0.064,0.18245274615688883,0.11845274615688883
CH3:CH2,3.423846153846154,-0.064,0.21234462131676718,-0.064,0.13146255505721055,0.06746255505721055
CH3:CH2,3.4853846153846155,-0.064,0.1508950280232832,-0.064,0.09341911184921463,0.029419111849214627
CH3:CH2,3.5469230769230773,-0.064,0.10530647299848545,-0.064,0.06519523743336234,0.001195237433362334
CH3:CH2,3.6084615384615386,-0.064,0.07176040561267555,-0.064,0.04442686711480743,-0.019573132885192572
CH3:CH2,3.6700000000000004,-0.064,0.04736133756436406,-0.064,0.029321404086097787,-0.03467859591390221
CH3:CH2,3.7315384615384617,-0.064,0.0299077749189402,-0.064,0.018515903452315876,-0.04548409654768412
CH3:CH2,3.7930769230769235,-0.064,0.01772194046212508,-0.064,0.010971653340101637,-0.05302834665989836
CH3:CH2,3.8546153846153848,-0.064,0.009522650097250146,-0.064,0.005895472675207565,-0.05810452732479244
CH3:CH2,3.9161538461538465,-0.064,0.0043300160655886655,-0.064,0.0026807129462059426,-0.06131928705379406
CH3:CH2,3.9776923076923083,-0.064,0.001393729712279676,-0.064,0.0008628580648723474,-0.06313714193512765
CH3:CH2,4.03923076923077,-0.064,0.0001388897138228512,-0.064,8.598662182772718e-05,-0.06391401337817228
CH3:CH2,4.100769230769231,-0.06387505975916608,0.0,-0.06387505975916608,0.0,-0.06387505975916608
